Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Url
2023,Betis,La Liga,Paul Akouokou,CIV,"MF,DF",24,1997,5,174,168,4,2,1,2,0,2,0,0,0,0,160,2,3,https://fbref.com/en/players/31f5b89b/Paul-Akouokou
2023,Betis,La Liga,Claudio Bravo,CHI,GK,39,1983,12,392,241,148,47,0,2,0,0,0,0,0,0,232,3,0,https://fbref.com/en/players/10072610/Claudio-Bravo
2023,Betis,La Liga,Sergio Canales,ESP,"FW,MF",31,1991,26.7,1474,1324,134,51,13,14,135,7,72,24,36,1,1116,16,53,https://fbref.com/en/players/a6de370d/Sergio-Canales
2023,Betis,La Liga,William Carvalho,POR,MF,30,1992,27.1,1745,1696,43,42,13,19,5,1,0,0,0,0,1510,6,20,https://fbref.com/en/players/dee86451/William-Carvalho
2023,Betis,La Liga,Juan Cruz,ESP,FW,22,2000,2,39,38,1,1,0,0,6,0,0,0,0,0,25,0,2,https://fbref.com/en/players/cc2dd8a5/Juan-Cruz
2023,Betis,La Liga,Fran Delgado,ESP,DF,21,2001,0.1,8,7,1,0,0,0,1,1,0,0,0,0,7,0,0,https://fbref.com/en/players/e7d2a50b/Fran-Delgado
2023,Betis,La Liga,Nabil Fekir,FRA,MF,29,1993,10.7,484,416,66,27,2,3,48,4,33,13,16,0,378,2,7,https://fbref.com/en/players/bece776f/Nabil-Fekir
2023,Betis,La Liga,Luiz Felipe,ITA,DF,25,1997,19.6,884,843,39,36,0,9,2,3,0,0,0,0,753,2,11,https://fbref.com/en/players/15d0c248/Luiz-Felipe
2023,Betis,La Liga,Felix Garreta,ESP,DF,18,2004,1,40,38,1,1,0,0,0,0,0,0,0,0,34,1,0,https://fbref.com/en/players/9a26fa06/Felix-Garreta
2023,Betis,La Liga,Édgar González,ESP,DF,25,1997,19.7,892,867,22,22,0,2,0,0,0,0,0,0,792,3,7,https://fbref.com/en/players/49d028db/Edgar-Gonzalez
2023,Betis,La Liga,Roberto González,ESP,"FW,MF",21,2001,0.6,29,22,7,1,0,0,5,0,6,1,2,0,25,0,1,https://fbref.com/en/players/56545648/Roberto-Gonzalez
2023,Betis,La Liga,Andrés Guardado,MEX,MF,35,1986,15.3,870,806,63,45,3,14,9,11,7,1,5,0,739,1,14,https://fbref.com/en/players/ef322658/Andres-Guardado
2023,Betis,La Liga,Luiz Henrique,BRA,FW,21,2001,20.1,561,549,11,2,1,3,31,9,0,0,0,0,415,1,31,https://fbref.com/en/players/8059806f/Luiz-Henrique
2023,Betis,La Liga,Borja Iglesias,ESP,FW,29,1993,26.3,522,467,54,1,5,4,0,4,0,0,0,0,397,1,24,https://fbref.com/en/players/75645f0e/Borja-Iglesias
2023,Betis,La Liga,Joaquín,ESP,"MF,FW",41,1981,5.5,324,291,33,11,4,1,31,5,17,4,9,0,258,0,9,https://fbref.com/en/players/4c5b14d2/Joaquin
2023,Betis,La Liga,Willian José,BRA,FW,30,1991,8.1,266,249,17,0,1,2,4,0,0,0,0,0,206,0,9,https://fbref.com/en/players/d87e2cae/Willian-Jose
2023,Betis,La Liga,Juanmi,ESP,FW,29,1993,10.3,245,240,5,0,3,3,0,5,0,0,0,0,207,0,6,https://fbref.com/en/players/84399660/Juanmi
2023,Betis,La Liga,Juan Miranda,ESP,DF,22,2000,16.4,830,658,171,26,2,3,73,130,15,2,8,0,588,1,29,https://fbref.com/en/players/ead61f73/Juan-Miranda
2023,Betis,La Liga,Martín Montoya,ESP,DF,31,1991,5,244,199,45,6,0,2,10,39,0,0,0,0,190,0,5,https://fbref.com/en/players/5cec2487/Martin-Montoya
2023,Betis,La Liga,Álex Moreno,ESP,DF,29,1993,15,695,541,153,13,0,5,28,140,0,0,0,0,525,1,25,https://fbref.com/en/players/16e9d0ea/Alex-Moreno
2023,Betis,La Liga,Loren Morón,ESP,FW,28,1993,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,https://fbref.com/en/players/3aa4a3be/Loren-Moron
